开始日期,结束日期,广告组合名称,广告活动类型,广告活动名称,零售商,国家/地区,状态,货币,预算,定位类型,竞价策略,展示量,去年曝光量,点击量,去年点击量,点击率 (CTR),花费,去年支出,单次点击成本 (CPC),去年每次点击成本(CPC),7天总订单数(#),广告投入产出比 (ACOS) 总计,总广告投资回报率 (ROAS),7天总销售额
"May 17, 2026","Jun 15, 2026",C.全店铺捡漏,商品推广,近30天-ZD-GD-JM&TL-0.4-2025-6-7,Amazon,美国,ENABLED,USD,$50.0,自动投放,固定竞价,5442,6881,63,106,1.158%,$17.78,$41.85,$0.2822222,$0.3948113,0,0.0%,0.0,$0.0
"May 17, 2026","Jun 15, 2026",C.全店铺捡漏,商品推广,ALL-捡漏-ZD-0.25-GD-2025.6.9,Amazon,美国,ENABLED,USD,$70.0,自动投放,动态竞价 - 仅降低,90751,25729,999,375,1.101%,$256.64,$138.7,$0.2568969,$0.3698667,14,23.335%,4.29,$1099.82
"Jun 03, 2026","Jun 15, 2026",开学季100cm-dorm-twin,商品推广,100-ZD-推荐+首页-GD-2025.6.10,Amazon,美国,ENABLED,USD,$10.0,自动投放,固定竞价,921,14747,7,172,0.76%,$2.01,$102.87,$0.2871429,$0.5980814,0,0.0%,0.0,$0.0
"Jun 03, 2026","Jun 15, 2026",开学季100cm-dorm-twin,商品推广,2.100-ZD-推荐+首页A-GD-2025.6.27,Amazon,美国,ENABLED,USD,$10.0,自动投放,固定竞价,1652,,11,,0.666%,$3.17,,$0.28818180000000004,$0.0,0,0.0%,0.0,$0.0
"Jun 03, 2026","Jun 11, 2026",开学季100cm-dorm-twin,商品推广,100-ZD-推荐+首页-GD-2025.6.10 复制 2,Amazon,美国,PAUSED,USD,$10.0,自动投放,固定竞价,24569,,182,,0.741%,$78.26,,$0.43,$0.0,0,0.0%,0.0,$0.0
"May 17, 2026","Jun 15, 2026",三角系列2025.6,商品推广,白色twin荷兰绒-SD-JZ&CZ-25.7.8,Amazon,美国,ENABLED,USD,$10.0,手动投放,固定竞价,13415,,57,,0.42500000000000004%,$22.82,,$0.40035089999999995,$0.0,1,28.89%,3.46,$78.99
"Jun 03, 2026","Jun 15, 2026",开学季100cm-dorm-twin,商品推广,100-ZD-推荐+首页-GD-2025.6.10 复制 2 复制 1,Amazon,美国,ENABLED,USD,$8.0,自动投放,固定竞价,17160,,135,,0.787%,$43.1,,$0.3192593,$0.0,2,27.456999999999997%,3.64,$156.97
"Jun 03, 2026","Jun 15, 2026",开学季100cm-dorm-twin,商品推广,100-ZD-推荐+首页-GD-2025.6.10 复制 3,Amazon,美国,ENABLED,USD,$20.0,自动投放,固定竞价,76425,,475,,0.622%,$211.84,,$0.4459789,$0.0,9,29.799%,3.36,$710.9
"Jun 03, 2026","Jun 15, 2026",开学季100cm-dorm-twin,商品推广,100-ZD-推荐+首页-GD-2025.6.10 复制 4,Amazon,美国,ENABLED,USD,$10.0,自动投放,固定竞价,109,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"May 17, 2026","Jun 15, 2026",三角系列2025.6,商品推广,三角-ZD-20250926-JM&TL&GL,Amazon,美国,ENABLED,USD,$30.0,自动投放,固定竞价,3293,,35,,1.0630000000000002%,$7.44,,$0.2125714,$0.0,0,0.0%,0.0,$0.0
"May 17, 2026","Jun 15, 2026",三角系列2025.6,商品推广,三角-ZD-20250926 复制 1-0.35,Amazon,美国,ENABLED,USD,$40.0,自动投放,固定竞价,79406,,973,,1.225%,$322.15,,$0.3310894,$0.0,17,23.347%,4.28,$1379.81
"May 17, 2026","Jun 15, 2026",三角系列2025.6,商品推广,三角荷兰-白-153-SDJZ-2025-10-22-1.1,Amazon,美国,ENABLED,USD,$30.0,手动投放,固定竞价,291,,3,,1.031%,$1.72,,$0.5733332999999999,$0.0,0,0.0%,0.0,$0.0
"May 17, 2026","Jun 15, 2026",三角系列2025.6,商品推广,0.68-三角荷兰-白-153-SDJZ-1.0,Amazon,美国,ENABLED,USD,$10.0,手动投放,固定竞价,2216,,16,,0.722%,$9.47,,$0.591875,$0.0,0,0.0%,0.0,$0.0
"May 17, 2026","Jun 15, 2026",三角系列2025.6,商品推广,0.6-三角荷兰-白-153-SDJZ-1.0,Amazon,美国,ENABLED,USD,$30.0,手动投放,动态竞价 - 仅降低,3909,,13,,0.333%,$8.61,,$0.6623077,$0.0,0,0.0%,0.0,$0.0
"May 17, 2026","Jun 15, 2026",三角系列2025.6,商品推广,0.5-精筛-三角荷兰-白-153-SDJZ-2.1.0,Amazon,美国,ENABLED,USD,$30.0,手动投放,固定竞价,33743,,185,,0.5479999999999999%,$140.57,,$0.7598378,$0.0,4,46.245999999999995%,2.16,$303.96
"May 28, 2026","Jun 13, 2026",三角系列2025.6,商品推广,0.58-精筛-三角荷兰-白-153-SDJZ-2.2.0,Amazon,美国,ENABLED,USD,$10.0,手动投放,固定竞价,2,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"May 18, 2026","May 22, 2026",三角系列2025.6,商品推广,荷兰绒-可可-ZG&KF-0.5-1.0,Amazon,美国,ENABLED,USD,$10.0,自动投放,固定竞价,1,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"May 17, 2026","Jun 15, 2026",No Portfolio,商品推广,三角153-ZD*4-最低-1.0,Amazon,美国,ENABLED,USD,$20.0,自动投放,固定竞价,1460,,8,,0.5479999999999999%,$1.58,,$0.1975,$0.0,0,0.0%,0.0,$0.0
"May 17, 2026","Jun 15, 2026",三角系列2025.6,商品推广,三角194cm-ZD*4-最低-1.0,Amazon,美国,ENABLED,USD,$60.0,自动投放,固定竞价,8210,,97,,1.1809999999999998%,$27.43,,$0.2827835,$0.0,2,13.716000000000001%,7.29,$199.98
