赛狐店铺,收款主体,品牌/账号别,站点,归属账号族,渠道账号/需补,状态
TOODDLY-Daneey-US,TOODDLY,Daneey,US,TOODDLY,AMZTOODDLYUS,已匹配
TOODDLY-Daneey-CA,TOODDLY,Daneey,CA,TOODDLY,AMZTOODDLYCA,已匹配
Centrade-WOWMAX-US,Centrade,WOWMAX,US,CTRD,AMZCTRDUS,已匹配
Centrade-WOWMAX-CA,Centrade,WOWMAX,CA,CTRD,AMZCTRDCA,已匹配
百纳-BNCKTRD-US,百纳,BNCKTRD,US,BAINA,AMZBAINAUS,已匹配
百纳-BNCKTRD-CA,百纳,BNCKTRD,CA,BAINA,AMZBAINACA,已匹配
百纳-BNCKTRD-ES,百纳,BNCKTRD,ES,BAINA,AMZBAINAES,已匹配
百纳-BNCKTRD-UK,百纳,BNCKTRD,UK,BAINA,AMZBAINAUK,已匹配
百纳-BNCKTRD-FR,百纳,BNCKTRD,FR,BAINA,AMZBAINAFR,已匹配
百纳-BNCKTRD-DE,百纳,BNCKTRD,DE,BAINA,AMZBAINADE,已匹配
百纳-BNCKTRD-IT,百纳,BNCKTRD,IT,BAINA,AMZBAINAIT,已匹配
百纳-BNCKTRD-TR,百纳,BNCKTRD,TR,BAINA,AMZBAINATR?,跳过-无当月数据
百纳-BNCKTRD-NL,百纳,BNCKTRD,NL,BAINA,AMZBAINANL,已匹配
百纳-BNCKTRD-SE,百纳,BNCKTRD,SE,BAINA,AMZBAINASE,已匹配
百纳-BNCKTRD-PL,百纳,BNCKTRD,PL,BAINA,AMZBAINAPL,已匹配
百纳-BNCKTRD-IE,百纳,BNCKTRD,IE,BAINA,AMZBAINAIE?,跳过-无当月数据
VERCART-US,,VERCART,US,,,跳过-无当月数据
VERCART-CA,,VERCART,CA,,,跳过-无当月数据
VERCART-ES,,VERCART,ES,,,跳过-无当月数据
VERCART-UK,,VERCART,UK,,,跳过-无当月数据
VERCART-FR,,VERCART,FR,,,跳过-无当月数据
VERCART-IT,,VERCART,IT,,,跳过-无当月数据
VERCART-TR,,VERCART,TR,,,跳过-无当月数据
VERCART-NL,,VERCART,NL,,,跳过-无当月数据
VERCART-SE,,VERCART,SE,,,跳过-无当月数据
VERCART-PL,,VERCART,PL,,,跳过-无当月数据
VERCART-BE,,VERCART,BE,,,跳过-无当月数据
VERCART-IE,,VERCART,IE,,,跳过-无当月数据
君缘-Johnear-US,君缘,Johnear,US,Johna,AMZJohnaUS,已匹配
君缘-Johnear-CA,君缘,Johnear,CA,Johna,AMZJohnaCA,已匹配
君缘-Johnear-ES,君缘,Johnear,ES,Johna,AMZJohnaES,已匹配
君缘-Johnear-UK,君缘,Johnear,UK,Johna,AMZJohnaUK,已匹配
君缘-Johnear-FR,君缘,Johnear,FR,Johna,AMZJohnaFR,已匹配
君缘-Johnear-DE,君缘,Johnear,DE,Johna,AMZJohnaDE,已匹配
君缘-Johnear-IT,君缘,Johnear,IT,Johna,AMZJohnaIT,已匹配
君缘-Johnear-TR,君缘,Johnear,TR,Johna,AMZJohnaTR?,跳过-无当月数据
君缘-Johnear-NL,君缘,Johnear,NL,Johna,AMZJohnaNL,已匹配
君缘-Johnear-SE,君缘,Johnear,SE,Johna,AMZJohnaSE,已匹配
君缘-Johnear-PL,君缘,Johnear,PL,Johna,AMZJohnaPL,已匹配
君缘-Johnear-BE,君缘,Johnear,BE,Johna,AMZJohnaBE,已匹配
君缘-Johnear-IE,君缘,Johnear,IE,Johna,AMZJohnaIE?,跳过-无当月数据
北京如森-Rucener-US,北京如森,Rucener,US,Rosoon,AMZRosoonUS,已匹配
北京如森-Rucener-CA,北京如森,Rucener,CA,Rosoon,AMZRosoonCA,已匹配
北京如森-Rucener-ES,北京如森,Rucener,ES,Rosoon,AMZRosoonES,已匹配
北京如森-Rucener-UK,北京如森,Rucener,UK,Rosoon,AMZRosoonUK,已匹配
北京如森-Rucener-FR,北京如森,Rucener,FR,Rosoon,AMZRosoonFR,已匹配
北京如森-Rucener-DE,北京如森,Rucener,DE,Rosoon,AMZRosoonDE,已匹配
北京如森-Rucener-IT,北京如森,Rucener,IT,Rosoon,AMZRosoonIT,已匹配
北京如森-Rucener-NL,北京如森,Rucener,NL,Rosoon,AMZRosoonNL,已匹配
北京如森-Rucener-SE,北京如森,Rucener,SE,Rosoon,AMZRosoonSE,已匹配
北京如森-Rucener-PL,北京如森,Rucener,PL,Rosoon,AMZRosoonPL,已匹配
北京如森-Rucener-BE,北京如森,Rucener,BE,Rosoon,AMZRosoonBE,已匹配
北京如森-Rucener-IE,北京如森,Rucener,IE,Rosoon,AMZRosoonIE,已匹配
北京熙锦-Jalnoddsa-US,北京熙锦,Jalnoddsa,US,BJXJ,AMZBJXJUS,已匹配
